,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
992,992,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
993,993,0.0,0.8312,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead","[(660, 1), (686, 1), (687, 1)]"
994,994,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
995,995,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
996,996,1.0,0.8666,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(9, 1), (29, 1), (30, 1), (34, 1)]"
997,997,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
998,998,1.0,0.8333,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(30, 1), (34, 1), (93, 1)]"
999,999,2.0,0.9144,"pic, yeticycle, push, elevensix, sb, bike, evil, new, go, good","[(36, 1), (74, 1), (346, 1), (656, 1), (688, 1), (689, 1), (690, 1)]"
1000,1000,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1001,1001,0.0,0.8782,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead","[(8, 1), (62, 1), (65, 4), (74, 1), (120, 1), (138, 1), (409, 1), (451, 1), (572, 1), (660, 1)]"
1002,1002,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1003,1003,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1004,1004,1.0,0.8666,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(9, 1), (29, 1), (30, 1), (34, 1)]"
1005,1005,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1006,1006,1.0,0.8666,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(30, 1), (34, 1), (93, 1), (257, 1)]"
1007,1007,2.0,0.59,"pic, yeticycle, push, elevensix, sb, bike, evil, new, go, good","[(36, 1), (87, 1), (667, 1)]"
1008,1008,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1009,1009,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1010,1010,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1011,1011,0.0,0.8859,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead","[(3, 1), (8, 2), (111, 1), (115, 1)]"
1012,1012,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1013,1013,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1014,1014,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1015,1015,2.0,0.5351,"pic, yeticycle, push, elevensix, sb, bike, evil, new, go, good","[(10, 1), (29, 1), (42, 1), (368, 1)]"
1016,1016,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1017,1017,1.0,0.6665,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(93, 1)]"
1018,1018,0.0,0.8841,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead","[(87, 1), (352, 1), (509, 1), (691, 1), (692, 1)]"
1019,1019,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1020,1020,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1021,1021,0.0,0.8782,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead","[(8, 1), (62, 1), (65, 4), (74, 1), (120, 1), (138, 1), (409, 1), (451, 1), (572, 1), (660, 1)]"
1022,1022,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1023,1023,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1024,1024,1.0,0.8666,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(9, 1), (29, 1), (30, 1), (34, 1)]"
1025,1025,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1026,1026,1.0,0.8666,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(30, 1), (34, 1), (93, 1), (257, 1)]"
1027,1027,2.0,0.9656,"pic, yeticycle, push, elevensix, sb, bike, evil, new, go, good","[(57, 1), (128, 1), (138, 1), (192, 1), (239, 1), (241, 1), (341, 1), (373, 1), (387, 1), (693, 1), (694, 1), (695, 1), (696, 1), (697, 1), (698, 1), (699, 1), (700, 1), (701, 1), (702, 1), (703, 1)]"
1028,1028,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1029,1029,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
