Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,symmetric,0.31,0.5875840491736966
75% Corpus,5,symmetric,0.61,0.5926179746455201
75% Corpus,5,symmetric,0.9099999999999999,0.5759642431184527
75% Corpus,5,symmetric,symmetric,0.5737993725131909
75% Corpus,5,asymmetric,0.01,0.5919390096830204
75% Corpus,5,asymmetric,0.31,0.5578806584510358
75% Corpus,5,asymmetric,0.61,0.46192999604509133
75% Corpus,5,asymmetric,0.9099999999999999,0.40751594051226697
75% Corpus,5,asymmetric,symmetric,0.6044153169291699
75% Corpus,6,0.01,0.01,0.5663335981487366
75% Corpus,6,0.01,0.31,0.5666049796205079
75% Corpus,6,0.01,0.61,0.570996911175845
75% Corpus,6,0.01,0.9099999999999999,0.5773728862346086
75% Corpus,6,0.01,symmetric,0.5722412589876263
75% Corpus,6,0.31,0.01,0.5738836711686018
75% Corpus,6,0.31,0.31,0.5603427679799983
75% Corpus,6,0.31,0.61,0.564347366497057
75% Corpus,6,0.31,0.9099999999999999,0.555873714181414
75% Corpus,6,0.31,symmetric,0.5638035962786675
75% Corpus,6,0.61,0.01,0.5878014202996279
75% Corpus,6,0.61,0.31,0.583692343898283
75% Corpus,6,0.61,0.61,0.6053078880461896
75% Corpus,6,0.61,0.9099999999999999,0.6018428476272007
75% Corpus,6,0.61,symmetric,0.5890317122354961
75% Corpus,6,0.9099999999999999,0.01,0.5753671298150723
75% Corpus,6,0.9099999999999999,0.31,0.5426531090732752
75% Corpus,6,0.9099999999999999,0.61,0.5623193288736215
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.5560194245262294
75% Corpus,6,0.9099999999999999,symmetric,0.5565692577631641
75% Corpus,6,symmetric,0.01,0.5593006957927498
75% Corpus,6,symmetric,0.31,0.5638477836853981
75% Corpus,6,symmetric,0.61,0.5862393141148984
75% Corpus,6,symmetric,0.9099999999999999,0.5678990098018136
75% Corpus,6,symmetric,symmetric,0.574962100663079
75% Corpus,6,asymmetric,0.01,0.612985941895687
75% Corpus,6,asymmetric,0.31,0.548454675361916
75% Corpus,6,asymmetric,0.61,0.4431642454469602
75% Corpus,6,asymmetric,0.9099999999999999,0.45945950093057464
75% Corpus,6,asymmetric,symmetric,0.557832599279984
75% Corpus,7,0.01,0.01,0.5615425523019892
75% Corpus,7,0.01,0.31,0.5644767007814783
75% Corpus,7,0.01,0.61,0.5647209108368423
75% Corpus,7,0.01,0.9099999999999999,0.5591339745742865
75% Corpus,7,0.01,symmetric,0.5690909889393624
75% Corpus,7,0.31,0.01,0.543877418389111
75% Corpus,7,0.31,0.31,0.5435399327793501
75% Corpus,7,0.31,0.61,0.5606486434913429
75% Corpus,7,0.31,0.9099999999999999,0.5709314980521595
75% Corpus,7,0.31,symmetric,0.5487071721100109
75% Corpus,7,0.61,0.01,0.57286414018138
75% Corpus,7,0.61,0.31,0.5797450092384473
75% Corpus,7,0.61,0.61,0.5935177068262941
75% Corpus,7,0.61,0.9099999999999999,0.5786394448024693
75% Corpus,7,0.61,symmetric,0.5776658988512298
75% Corpus,7,0.9099999999999999,0.01,0.571898223863869
75% Corpus,7,0.9099999999999999,0.31,0.569077547899189
75% Corpus,7,0.9099999999999999,0.61,0.5622739516881824
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.5657848087497729
75% Corpus,7,0.9099999999999999,symmetric,0.5591028831587466
75% Corpus,7,symmetric,0.01,0.5594844217622815
75% Corpus,7,symmetric,0.31,0.569067208608263
75% Corpus,7,symmetric,0.61,0.552404556390907
75% Corpus,7,symmetric,0.9099999999999999,0.5723090569919732
75% Corpus,7,symmetric,symmetric,0.5653540239505873
75% Corpus,7,asymmetric,0.01,0.6107745216957812
75% Corpus,7,asymmetric,0.31,0.48225266637682
75% Corpus,7,asymmetric,0.61,0.4444811688662321
75% Corpus,7,asymmetric,0.9099999999999999,0.5039370600256857
75% Corpus,7,asymmetric,symmetric,0.5624049696989698
75% Corpus,8,0.01,0.01,0.5584274236206046
75% Corpus,8,0.01,0.31,0.5715708005575466
75% Corpus,8,0.01,0.61,0.5565965912213737
75% Corpus,8,0.01,0.9099999999999999,0.5653171313379127
75% Corpus,8,0.01,symmetric,0.5545114904911541
75% Corpus,8,0.31,0.01,0.5553225815318739
75% Corpus,8,0.31,0.31,0.5561130041896216
75% Corpus,8,0.31,0.61,0.5544249067075286
75% Corpus,8,0.31,0.9099999999999999,0.5535745303438873
75% Corpus,8,0.31,symmetric,0.5633376471006402
75% Corpus,8,0.61,0.01,0.5866566422067084
75% Corpus,8,0.61,0.31,0.5887751557036089
75% Corpus,8,0.61,0.61,0.6168529652663473
75% Corpus,8,0.61,0.9099999999999999,0.6051988273874622
75% Corpus,8,0.61,symmetric,0.579979091056632
75% Corpus,8,0.9099999999999999,0.01,0.5776670708435685
75% Corpus,8,0.9099999999999999,0.31,0.5505860333333572
75% Corpus,8,0.9099999999999999,0.61,0.5776063448037926
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.5401760660400541
75% Corpus,8,0.9099999999999999,symmetric,0.5711482918883433
75% Corpus,8,symmetric,0.01,0.5619818091025497
75% Corpus,8,symmetric,0.31,0.5495900522839791
75% Corpus,8,symmetric,0.61,0.5383930519684168
75% Corpus,8,symmetric,0.9099999999999999,0.5530372232453488
75% Corpus,8,symmetric,symmetric,0.5523206400269203
75% Corpus,8,asymmetric,0.01,0.5779160962126796
75% Corpus,8,asymmetric,0.31,0.5145436898187778
75% Corpus,8,asymmetric,0.61,0.48973461657618395
75% Corpus,8,asymmetric,0.9099999999999999,0.43679408769436096
75% Corpus,8,asymmetric,symmetric,0.5472765683426486
75% Corpus,9,0.01,0.01,0.5551525769935559
75% Corpus,9,0.01,0.31,0.5719592085540983
75% Corpus,9,0.01,0.61,0.5871801690246757
75% Corpus,9,0.01,0.9099999999999999,0.5631931749484199
75% Corpus,9,0.01,symmetric,0.5668778894445732
75% Corpus,9,0.31,0.01,0.5724885949659284
75% Corpus,9,0.31,0.31,0.5574659114356524
75% Corpus,9,0.31,0.61,0.5611329423483866
75% Corpus,9,0.31,0.9099999999999999,0.555334836080746
75% Corpus,9,0.31,symmetric,0.5553664563159982
75% Corpus,9,0.61,0.01,0.5968810098428025
75% Corpus,9,0.61,0.31,0.591473168297867
75% Corpus,9,0.61,0.61,0.583552510874621
75% Corpus,9,0.61,0.9099999999999999,0.5817019724770637
75% Corpus,9,0.61,symmetric,0.5769502420902246
75% Corpus,9,0.9099999999999999,0.01,0.5702812859686124
75% Corpus,9,0.9099999999999999,0.31,0.5702359231101625
75% Corpus,9,0.9099999999999999,0.61,0.5528358485573562
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.5212431930605987
75% Corpus,9,0.9099999999999999,symmetric,0.5593250365350592
75% Corpus,9,symmetric,0.01,0.564594239431367
75% Corpus,9,symmetric,0.31,0.556907168698682
75% Corpus,9,symmetric,0.61,0.5758478859306398
75% Corpus,9,symmetric,0.9099999999999999,0.5585787006956485
75% Corpus,9,symmetric,symmetric,0.5795090762370457
75% Corpus,9,asymmetric,0.01,0.6056661169455202
75% Corpus,9,asymmetric,0.31,0.5376201483809395
75% Corpus,9,asymmetric,0.61,0.44500684070940977
75% Corpus,9,asymmetric,0.9099999999999999,0.4340736809902761
75% Corpus,9,asymmetric,symmetric,0.5811558433797024
75% Corpus,10,0.01,0.01,0.5608805547148279
75% Corpus,10,0.01,0.31,0.5638694399316072
75% Corpus,10,0.01,0.61,0.5668161265131546
75% Corpus,10,0.01,0.9099999999999999,0.5475256220601862
75% Corpus,10,0.01,symmetric,0.5585353990472373
75% Corpus,10,0.31,0.01,0.5670597994338226
75% Corpus,10,0.31,0.31,0.5417697084700097
75% Corpus,10,0.31,0.61,0.5671340108137476
75% Corpus,10,0.31,0.9099999999999999,0.5588537177550721
75% Corpus,10,0.31,symmetric,0.5496045201271913
75% Corpus,10,0.61,0.01,0.5871928945842627
75% Corpus,10,0.61,0.31,0.5835217581536631
75% Corpus,10,0.61,0.61,0.5994335667111612
75% Corpus,10,0.61,0.9099999999999999,0.6306915578676334
75% Corpus,10,0.61,symmetric,0.6029912516506685
75% Corpus,10,0.9099999999999999,0.01,0.5794996275995473
75% Corpus,10,0.9099999999999999,0.31,0.579637480443003
75% Corpus,10,0.9099999999999999,0.61,0.5320369965338428
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.5559073504498804
75% Corpus,10,0.9099999999999999,symmetric,0.5927561731761459
75% Corpus,10,symmetric,0.01,0.5257298482804708
75% Corpus,10,symmetric,0.31,0.5577905517461443
75% Corpus,10,symmetric,0.61,0.5624042835558558
75% Corpus,10,symmetric,0.9099999999999999,0.543654768700174
75% Corpus,10,symmetric,symmetric,0.5500459006498569
75% Corpus,10,asymmetric,0.01,0.6205779989440472
75% Corpus,10,asymmetric,0.31,0.5528068154969377
75% Corpus,10,asymmetric,0.61,0.40870259622089067
75% Corpus,10,asymmetric,0.9099999999999999,0.45283397741852893
75% Corpus,10,asymmetric,symmetric,0.5854379244567126
100% Corpus,2,0.01,0.01,0.5776673350290218
100% Corpus,2,0.01,0.31,0.6175541406237877
100% Corpus,2,0.01,0.61,0.5847754926915223
100% Corpus,2,0.01,0.9099999999999999,0.6286793517775491
100% Corpus,2,0.01,symmetric,0.5907307144473366
100% Corpus,2,0.31,0.01,0.602960085322281
100% Corpus,2,0.31,0.31,0.5987801603840872
100% Corpus,2,0.31,0.61,0.6044659413472815
100% Corpus,2,0.31,0.9099999999999999,0.6006768992797826
100% Corpus,2,0.31,symmetric,0.5883060749630964
100% Corpus,2,0.61,0.01,0.6143174575185633
100% Corpus,2,0.61,0.31,0.5967780850674659
100% Corpus,2,0.61,0.61,0.6060319895954269
100% Corpus,2,0.61,0.9099999999999999,0.5883700527493264
100% Corpus,2,0.61,symmetric,0.6010621434132908
100% Corpus,2,0.9099999999999999,0.01,0.6067323894498692
100% Corpus,2,0.9099999999999999,0.31,0.6103798973749672
100% Corpus,2,0.9099999999999999,0.61,0.6070229670047851
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.5699476830193011
100% Corpus,2,0.9099999999999999,symmetric,0.6014502656141919
100% Corpus,2,symmetric,0.01,0.5895047962114948
100% Corpus,2,symmetric,0.31,0.5915622190243136
100% Corpus,2,symmetric,0.61,0.5842458756117846
100% Corpus,2,symmetric,0.9099999999999999,0.5883589725583709
100% Corpus,2,symmetric,symmetric,0.5842458756117846
100% Corpus,2,asymmetric,0.01,0.6486049987474147
100% Corpus,2,asymmetric,0.31,0.6609500874086642
100% Corpus,2,asymmetric,0.61,0.6023807636097598
100% Corpus,2,asymmetric,0.9099999999999999,0.5570169811936216
100% Corpus,2,asymmetric,symmetric,0.6453850868427682
