,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
1000,1000,1.0,0.7463,"yeticycle, ridedriven, racebre, ride, trail, shock, rideshimano, bike, chriskingbuzz, photo","[(348, 1), (2560, 1)]"
1001,1001,1.0,0.8921,"yeticycle, ridedriven, racebre, ride, trail, shock, rideshimano, bike, chriskingbuzz, photo","[(20, 1), (675, 1), (844, 1), (846, 1), (1573, 1), (2561, 1)]"
1002,1002,2.0,0.6622,"link, bio, full, rampage, watch, race, team, bike, dtswiss, day","[(2562, 1)]"
1003,1003,0.0,0.9479,"richie_rude, first, stage, race, morethanmyth, day, second, year, raceface, team","[(20, 1), (79, 1), (110, 1), (229, 1), (239, 1), (288, 1), (305, 2), (324, 1), (347, 1), (362, 1), (403, 1), (415, 1), (554, 1), (605, 1), (711, 1), (733, 1), (751, 1), (845, 1), (891, 1), (1072, 1), (1225, 1), (1565, 1), (1583, 1), (2045, 1), (2539, 1), (2546, 1), (2563, 1), (2564, 1), (2565, 1), (2566, 1)]"
1004,1004,0.0,0.3333,"richie_rude, first, stage, race, morethanmyth, day, second, year, raceface, team",[]
1005,1005,0.0,0.5131,"richie_rude, first, stage, race, morethanmyth, day, second, year, raceface, team","[(20, 1), (100, 1), (211, 1), (218, 1), (268, 1), (324, 1), (435, 1), (635, 1), (844, 1), (1022, 1), (1115, 1), (1123, 1), (1851, 1), (2045, 1)]"
1006,1006,0.0,0.3333,"richie_rude, first, stage, race, morethanmyth, day, second, year, raceface, team",[]
1007,1007,1.0,0.7459,"yeticycle, ridedriven, racebre, ride, trail, shock, rideshimano, bike, chriskingbuzz, photo","[(20, 1), (33, 1), (100, 1), (139, 1), (211, 1), (435, 1), (536, 1), (844, 1), (1011, 1), (1022, 1), (1064, 1), (1728, 1), (2045, 1), (2567, 1), (2568, 1)]"
1008,1008,0.0,0.3333,"richie_rude, first, stage, race, morethanmyth, day, second, year, raceface, team",[]
1009,1009,0.0,0.653,"richie_rude, first, stage, race, morethanmyth, day, second, year, raceface, team","[(20, 1), (100, 1), (215, 1), (268, 1), (435, 1), (536, 1), (808, 1), (844, 1), (1011, 1), (1022, 1), (1194, 1), (1685, 1), (2045, 1), (2193, 1), (2569, 1)]"
1010,1010,0.0,0.3333,"richie_rude, first, stage, race, morethanmyth, day, second, year, raceface, team",[]
