Validation_Set,Topics,Alpha,Beta,Coherence,,,,
100% Corpus,5,symmetric,0.31,0.475273808,,,,
100% Corpus,5,symmetric,0.61,0.484044335,,,,
100% Corpus,5,symmetric,0.91,0.482662555,,,,
100% Corpus,5,symmetric,symmetric,0.468647505,,,,
100% Corpus,5,asymmetric,0.01,0.476494918,,,,
100% Corpus,5,asymmetric,0.31,0.520869562,,,,
100% Corpus,5,asymmetric,0.61,0.492545643,,,,
100% Corpus,5,asymmetric,0.91,0.466125908,,,,
100% Corpus,5,asymmetric,symmetric,0.514201838,,,,
100% Corpus,6,0.01,0.01,0.494883398,14.47377092,,,
100% Corpus,6,0.01,0.31,0.494555325,0.482459031,,,
100% Corpus,6,0.01,0.61,0.542212129,,,,
100% Corpus,6,0.01,0.91,0.496668622,k = 6,,,
100% Corpus,6,0.01,symmetric,0.508179417,0.542212129,,,
100% Corpus,6,0.31,0.01,0.475742929,,,,
100% Corpus,6,0.31,0.31,0.466780463,Alpha,,,
100% Corpus,6,0.31,0.61,0.481440769,0.01,,,
100% Corpus,6,0.31,0.91,0.476175936,,,,
100% Corpus,6,0.31,symmetric,0.469407842,Beta,,,
100% Corpus,6,0.61,0.01,0.4589966,0.61,,,
100% Corpus,6,0.61,0.31,0.494087028,,,,
100% Corpus,6,0.61,0.61,0.501347533,,,,
100% Corpus,6,0.61,0.91,0.489822642,,,,
100% Corpus,6,0.61,symmetric,0.48375895,,,,
100% Corpus,6,0.91,0.01,0.467521316,,,,
100% Corpus,6,0.91,0.31,0.4991605,,,,
100% Corpus,6,0.91,0.61,0.469566911,,,,
100% Corpus,6,0.91,0.91,0.461127961,,,,
100% Corpus,6,0.91,symmetric,0.476472655,,,,
100% Corpus,6,symmetric,0.01,0.476386225,,,,
100% Corpus,6,symmetric,0.31,0.482255715,,,,
100% Corpus,6,symmetric,0.61,0.496034926,,,,
100% Corpus,6,symmetric,0.91,0.492936539,,,,
100% Corpus,6,symmetric,symmetric,0.493164331,,,,
100% Corpus,6,asymmetric,0.01,0.480934118,,,,
100% Corpus,6,asymmetric,0.31,0.509878367,,,,
100% Corpus,6,asymmetric,0.61,0.458709397,,,,
100% Corpus,6,asymmetric,0.91,0.393834054,,,,
100% Corpus,6,asymmetric,symmetric,0.481728324,,,,
100% Corpus,7,0.01,0.01,0.461839255,13.84568663,,,
100% Corpus,7,0.01,0.31,0.443121577,0.461522888,,,
100% Corpus,7,0.01,0.61,0.458711779,,,,
100% Corpus,7,0.01,0.91,0.459313403,,,,
100% Corpus,7,0.01,symmetric,0.437481254,,,,
100% Corpus,7,0.31,0.01,0.446991629,,,,
100% Corpus,7,0.31,0.31,0.472721,,,,
100% Corpus,7,0.31,0.61,0.463349771,,,,
100% Corpus,7,0.31,0.91,0.459716387,,,,
100% Corpus,7,0.31,symmetric,0.473065636,,,,
100% Corpus,7,0.61,0.01,0.467933207,,,,
100% Corpus,7,0.61,0.31,0.484680168,,,,
100% Corpus,7,0.61,0.61,0.478884352,,,,
100% Corpus,7,0.61,0.91,0.469547452,,,,
100% Corpus,7,0.61,symmetric,0.474920715,,,,
100% Corpus,7,0.91,0.01,0.48988671,,,,
100% Corpus,7,0.91,0.31,0.466647904,,,,
100% Corpus,7,0.91,0.61,0.470277069,,,,
100% Corpus,7,0.91,0.91,0.485721851,,,,
100% Corpus,7,0.91,symmetric,0.485428099,,,,
100% Corpus,7,symmetric,0.01,0.452452284,,,,
100% Corpus,7,symmetric,0.31,0.443055273,,,,
100% Corpus,7,symmetric,0.61,0.44495968,,,,
