,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
8374,8374,2.0,0.6652,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(5042, 1)]"
8375,8375,1.0,0.3655,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(18, 1), (49, 1), (1881, 1)]"
8376,8376,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8377,8377,2.0,0.7887,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(383, 1), (895, 1), (1165, 1), (3036, 1), (3067, 1), (3097, 1), (3570, 1), (5067, 1)]"
8378,8378,0.0,0.5562,"link, full, check, bike, bio, profile, video, race, build, detail","[(18, 1), (173, 1), (601, 1), (1228, 1), (3988, 1)]"
8379,8379,2.0,0.8151,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(428, 1), (518, 1), (933, 1)]"
8380,8380,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8381,8381,1.0,0.8149,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(18, 1), (168, 1), (4754, 1)]"
8382,8382,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8383,8383,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8384,8384,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8385,8385,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8386,8386,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8387,8387,2.0,0.7773,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(159, 1), (160, 1)]"
8388,8388,2.0,0.6664,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(4854, 1)]"
8389,8389,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8390,8390,1.0,0.6657,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(1687, 1)]"
8391,8391,2.0,0.6665,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(4823, 1)]"
8392,8392,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8393,8393,2.0,0.6652,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(5042, 1)]"
8394,8394,1.0,0.851,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(18, 1), (49, 1), (203, 1), (1145, 1)]"
8395,8395,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8396,8396,1.0,0.824,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(203, 1), (806, 1), (3097, 1)]"
8397,8397,2.0,0.5082,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(68, 1), (86, 1), (127, 1), (216, 1), (383, 1), (548, 1), (637, 1), (767, 1), (863, 1), (1825, 1), (4754, 1)]"
8398,8398,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8399,8399,0.0,0.4914,"link, full, check, bike, bio, profile, video, race, build, detail","[(132, 1), (173, 1), (271, 1), (428, 1), (476, 1), (518, 1), (1607, 1), (4754, 1)]"
8400,8400,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8401,8401,1.0,0.8452,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(18, 1), (68, 1), (168, 1), (4754, 1)]"
8402,8402,1.0,0.6257,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(127, 1)]"
8403,8403,2.0,0.756,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(127, 1), (4776, 1)]"
8404,8404,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8405,8405,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8406,8406,2.0,0.6658,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(5071, 1)]"
8407,8407,2.0,0.6665,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(4942, 1)]"
8408,8408,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8409,8409,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8410,8410,2.0,0.7773,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(159, 1), (160, 1)]"
8411,8411,2.0,0.6664,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(4854, 1)]"
8412,8412,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8413,8413,1.0,0.6657,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(1687, 1)]"
8414,8414,2.0,0.6665,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(4823, 1)]"
8415,8415,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8416,8416,2.0,0.6658,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(5068, 1)]"
8417,8417,2.0,0.6652,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(5042, 1)]"
8418,8418,0.0,0.7424,"link, full, check, bike, bio, profile, video, race, build, detail","[(650, 1), (736, 1)]"
8419,8419,0.0,0.7686,"link, full, check, bike, bio, profile, video, race, build, detail","[(551, 1), (1093, 1)]"
8420,8420,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8421,8421,2.0,0.6662,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(4844, 1)]"
8422,8422,0.0,0.6662,"link, full, check, bike, bio, profile, video, race, build, detail","[(604, 1)]"
8423,8423,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
