Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,symmetric,0.31,0.5071007487924735
75% Corpus,5,symmetric,0.61,0.5083463392088564
75% Corpus,5,symmetric,0.9099999999999999,0.4759297904193366
75% Corpus,5,symmetric,symmetric,0.4891526390672685
75% Corpus,5,asymmetric,0.01,0.4766863540562757
75% Corpus,5,asymmetric,0.31,0.5026272581213087
75% Corpus,5,asymmetric,0.61,0.5493418594967571
75% Corpus,5,asymmetric,0.9099999999999999,0.4202444651869861
75% Corpus,5,asymmetric,symmetric,0.47046951306762363
75% Corpus,6,0.01,0.01,0.49902920294400355
75% Corpus,6,0.01,0.31,0.48697047176845226
75% Corpus,6,0.01,0.61,0.49094620981720166
75% Corpus,6,0.01,0.9099999999999999,0.5121021899044691
75% Corpus,6,0.01,symmetric,0.5137959644179556
75% Corpus,6,0.31,0.01,0.5009384796132862
75% Corpus,6,0.31,0.31,0.5115426029703266
75% Corpus,6,0.31,0.61,0.5021007113189214
75% Corpus,6,0.31,0.9099999999999999,0.500276960289804
75% Corpus,6,0.31,symmetric,0.5177687415510263
75% Corpus,6,0.61,0.01,0.4918685496081067
75% Corpus,6,0.61,0.31,0.5073048936410435
75% Corpus,6,0.61,0.61,0.48995288688796773
75% Corpus,6,0.61,0.9099999999999999,0.5238053898448661
75% Corpus,6,0.61,symmetric,0.5010838177903572
75% Corpus,6,0.9099999999999999,0.01,0.5240282918229944
75% Corpus,6,0.9099999999999999,0.31,0.5025781148071807
75% Corpus,6,0.9099999999999999,0.61,0.4939029158432822
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.5238088753239637
75% Corpus,6,0.9099999999999999,symmetric,0.5170575704521253
75% Corpus,6,symmetric,0.01,0.4890862992361437
75% Corpus,6,symmetric,0.31,0.48433025581558525
75% Corpus,6,symmetric,0.61,0.5155725943081122
75% Corpus,6,symmetric,0.9099999999999999,0.5028551007171647
75% Corpus,6,symmetric,symmetric,0.5014554956998164
75% Corpus,6,asymmetric,0.01,0.49216591830696715
75% Corpus,6,asymmetric,0.31,0.4742880320733929
75% Corpus,6,asymmetric,0.61,0.46495792192934227
75% Corpus,6,asymmetric,0.9099999999999999,0.48552687563708896
75% Corpus,6,asymmetric,symmetric,0.49818560086890135
75% Corpus,7,0.01,0.01,0.502967018925114
75% Corpus,7,0.01,0.31,0.49370378839653367
75% Corpus,7,0.01,0.61,0.46192639418917475
75% Corpus,7,0.01,0.9099999999999999,0.490827010464682
75% Corpus,7,0.01,symmetric,0.5024388792238746
75% Corpus,7,0.31,0.01,0.5226163489147614
75% Corpus,7,0.31,0.31,0.515365720412479
75% Corpus,7,0.31,0.61,0.4848407083834058
75% Corpus,7,0.31,0.9099999999999999,0.5019742580232855
75% Corpus,7,0.31,symmetric,0.5078614700056127
75% Corpus,7,0.61,0.01,0.472908563215892
75% Corpus,7,0.61,0.31,0.489827761067433
75% Corpus,7,0.61,0.61,0.4808390463939256
75% Corpus,7,0.61,0.9099999999999999,0.48756343589456236
75% Corpus,7,0.61,symmetric,0.47458941843990005
75% Corpus,7,0.9099999999999999,0.01,0.49904512210678564
75% Corpus,7,0.9099999999999999,0.31,0.47674426459987373
75% Corpus,7,0.9099999999999999,0.61,0.47968996658633156
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.4680193191399908
75% Corpus,7,0.9099999999999999,symmetric,0.504292119654232
75% Corpus,7,symmetric,0.01,0.5015597456486497
75% Corpus,7,symmetric,0.31,0.4915886374525932
75% Corpus,7,symmetric,0.61,0.4801053050638016
75% Corpus,7,symmetric,0.9099999999999999,0.46460839311303265
75% Corpus,7,symmetric,symmetric,0.512371689687732
75% Corpus,7,asymmetric,0.01,0.47484171808593006
75% Corpus,7,asymmetric,0.31,0.47543890738035405
75% Corpus,7,asymmetric,0.61,0.5111734833059822
75% Corpus,7,asymmetric,0.9099999999999999,0.47683445516367096
75% Corpus,7,asymmetric,symmetric,0.49495346664659884
75% Corpus,8,0.01,0.01,0.5121036256601809
75% Corpus,8,0.01,0.31,0.46630025563699606
75% Corpus,8,0.01,0.61,0.4600446114555995
75% Corpus,8,0.01,0.9099999999999999,0.4640207284972219
75% Corpus,8,0.01,symmetric,0.4791960716268455
75% Corpus,8,0.31,0.01,0.5044159998805812
75% Corpus,8,0.31,0.31,0.5157533901630813
75% Corpus,8,0.31,0.61,0.5021786310471594
75% Corpus,8,0.31,0.9099999999999999,0.47739707016455035
75% Corpus,8,0.31,symmetric,0.5126716785517984
75% Corpus,8,0.61,0.01,0.48380912290462874
75% Corpus,8,0.61,0.31,0.46900297676996433
75% Corpus,8,0.61,0.61,0.4733447959383991
75% Corpus,8,0.61,0.9099999999999999,0.4473287186474554
75% Corpus,8,0.61,symmetric,0.4722163806080717
75% Corpus,8,0.9099999999999999,0.01,0.4789548921660056
75% Corpus,8,0.9099999999999999,0.31,0.49631239199032984
75% Corpus,8,0.9099999999999999,0.61,0.4957011318755079
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.48773444123993015
75% Corpus,8,0.9099999999999999,symmetric,0.46497863003566287
75% Corpus,8,symmetric,0.01,0.5025421960230116
75% Corpus,8,symmetric,0.31,0.5099809829341194
75% Corpus,8,symmetric,0.61,0.4721824004502424
75% Corpus,8,symmetric,0.9099999999999999,0.510499803322761
75% Corpus,8,symmetric,symmetric,0.481024798940074
75% Corpus,8,asymmetric,0.01,0.4794048586273245
75% Corpus,8,asymmetric,0.31,0.4809714831637539
75% Corpus,8,asymmetric,0.61,0.47110408118368086
75% Corpus,8,asymmetric,0.9099999999999999,0.46827105205867225
75% Corpus,8,asymmetric,symmetric,0.48678603933060255
75% Corpus,9,0.01,0.01,0.497280255462703
75% Corpus,9,0.01,0.31,0.4933131040391339
75% Corpus,9,0.01,0.61,0.4754678675591248
75% Corpus,9,0.01,0.9099999999999999,0.4931119916066373
75% Corpus,9,0.01,symmetric,0.4682216539871541
75% Corpus,9,0.31,0.01,0.5211495468178685
75% Corpus,9,0.31,0.31,0.5134649436914434
75% Corpus,9,0.31,0.61,0.5077893536320771
75% Corpus,9,0.31,0.9099999999999999,0.520983994426437
75% Corpus,9,0.31,symmetric,0.5024187923742569
75% Corpus,9,0.61,0.01,0.47867474911542196
75% Corpus,9,0.61,0.31,0.4798106977227499
75% Corpus,9,0.61,0.61,0.4557303331938991
75% Corpus,9,0.61,0.9099999999999999,0.4530054803651007
75% Corpus,9,0.61,symmetric,0.4789108894890793
75% Corpus,9,0.9099999999999999,0.01,0.49077440064432043
75% Corpus,9,0.9099999999999999,0.31,0.4904617419047113
75% Corpus,9,0.9099999999999999,0.61,0.4958931553926724
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.48516481741699596
75% Corpus,9,0.9099999999999999,symmetric,0.4973484055848903
75% Corpus,9,symmetric,0.01,0.49434410788254535
75% Corpus,9,symmetric,0.31,0.4831231966494619
75% Corpus,9,symmetric,0.61,0.49271423074197496
75% Corpus,9,symmetric,0.9099999999999999,0.5041585179950886
75% Corpus,9,symmetric,symmetric,0.48707055900255525
75% Corpus,9,asymmetric,0.01,0.48645133130128076
75% Corpus,9,asymmetric,0.31,0.4519930744956575
75% Corpus,9,asymmetric,0.61,0.45449060038241573
75% Corpus,9,asymmetric,0.9099999999999999,0.4752514157837131
75% Corpus,9,asymmetric,symmetric,0.4653425691158468
75% Corpus,10,0.01,0.01,0.47854415447784826
75% Corpus,10,0.01,0.31,0.48502066522788123
75% Corpus,10,0.01,0.61,0.475796148684672
75% Corpus,10,0.01,0.9099999999999999,0.442296346452665
75% Corpus,10,0.01,symmetric,0.47192107394534355
75% Corpus,10,0.31,0.01,0.5107504768508292
75% Corpus,10,0.31,0.31,0.5012675818699395
75% Corpus,10,0.31,0.61,0.5056278654937938
75% Corpus,10,0.31,0.9099999999999999,0.4644830189497515
75% Corpus,10,0.31,symmetric,0.5096152760031949
75% Corpus,10,0.61,0.01,0.48193277752039976
75% Corpus,10,0.61,0.31,0.48034543574751
75% Corpus,10,0.61,0.61,0.4501016052075027
75% Corpus,10,0.61,0.9099999999999999,0.4540428603692114
75% Corpus,10,0.61,symmetric,0.4647792966273078
75% Corpus,10,0.9099999999999999,0.01,0.49403078038882986
75% Corpus,10,0.9099999999999999,0.31,0.49279006861961444
75% Corpus,10,0.9099999999999999,0.61,0.49916991827169543
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.47963622088621466
75% Corpus,10,0.9099999999999999,symmetric,0.49638904634050984
75% Corpus,10,symmetric,0.01,0.48400552937410557
75% Corpus,10,symmetric,0.31,0.5048738902321189
75% Corpus,10,symmetric,0.61,0.4692273035766844
75% Corpus,10,symmetric,0.9099999999999999,0.47058474267169437
75% Corpus,10,symmetric,symmetric,0.48591190517819627
75% Corpus,10,asymmetric,0.01,0.4581630912955026
75% Corpus,10,asymmetric,0.31,0.4472002156532874
75% Corpus,10,asymmetric,0.61,0.4493403184280133
75% Corpus,10,asymmetric,0.9099999999999999,0.4347988816298559
75% Corpus,10,asymmetric,symmetric,0.4652770354023529
100% Corpus,2,0.01,0.01,0.4987621984848187
100% Corpus,2,0.01,0.31,0.48868096633184566
100% Corpus,2,0.01,0.61,0.5172041536402309
