Validation_Set,Topics,Alpha,Beta,Coherence,,,,
100% Corpus,5,symmetric,0.01,0.50259284,,,,
100% Corpus,5,symmetric,0.31,0.561153884,,,,
100% Corpus,5,symmetric,0.61,0.538183674,,,,
100% Corpus,5,symmetric,0.91,0.51322642,,,,
100% Corpus,5,symmetric,symmetric,0.538238025,,,,
100% Corpus,5,asymmetric,0.01,0.488566807,,,,
100% Corpus,5,asymmetric,0.31,0.528267349,,,,
100% Corpus,5,asymmetric,0.61,0.54923632,,,,
100% Corpus,5,asymmetric,0.91,0.518649821,,,,
100% Corpus,5,asymmetric,symmetric,0.545321518,,,,
100% Corpus,6,0.01,0.01,0.516179598,15.39595468,,,
100% Corpus,6,0.01,0.31,0.521816736,0.513198489,,,
100% Corpus,6,0.01,0.61,0.527382634,,,,
100% Corpus,6,0.01,0.91,0.539451963,,,,
100% Corpus,6,0.01,symmetric,0.496525387,,,,
100% Corpus,6,0.31,0.01,0.478285375,,,,
100% Corpus,6,0.31,0.31,0.529372499,,,,
100% Corpus,6,0.31,0.61,0.531381676,,,,
100% Corpus,6,0.31,0.91,0.521105333,,,,
100% Corpus,6,0.31,symmetric,0.527712599,,,,
100% Corpus,6,0.61,0.01,0.500255232,,,,
100% Corpus,6,0.61,0.31,0.521284815,,,,
100% Corpus,6,0.61,0.61,0.515202531,,,,
100% Corpus,6,0.61,0.91,0.518838339,,,,
100% Corpus,6,0.61,symmetric,0.518090138,,,,
100% Corpus,6,0.91,0.01,0.544700128,,,,
100% Corpus,6,0.91,0.31,0.536967473,,,,
100% Corpus,6,0.91,0.61,0.537380408,,,,
100% Corpus,6,0.91,0.91,0.533836873,,,,
100% Corpus,6,0.91,symmetric,0.534135658,,,,
100% Corpus,6,symmetric,0.01,0.497790418,,,,
100% Corpus,6,symmetric,0.31,0.491876279,,,,
100% Corpus,6,symmetric,0.61,0.495901268,,,,
100% Corpus,6,symmetric,0.91,0.513831723,,,,
100% Corpus,6,symmetric,symmetric,0.50080464,,,,
100% Corpus,6,asymmetric,0.01,0.481958633,,,,
100% Corpus,6,asymmetric,0.31,0.495915647,,,,
100% Corpus,6,asymmetric,0.61,0.468641245,,,,
100% Corpus,6,asymmetric,0.91,0.483633743,,,,
100% Corpus,6,asymmetric,symmetric,0.515695687,,,,
100% Corpus,7,0.01,0.01,0.480589953,14.97248952,,,
100% Corpus,7,0.01,0.31,0.499063009,0.499082984,,,
100% Corpus,7,0.01,0.61,0.495952885,,,,
100% Corpus,7,0.01,0.91,0.49521196,,,,
100% Corpus,7,0.01,symmetric,0.523118339,,,,
100% Corpus,7,0.31,0.01,0.501499817,,,,
100% Corpus,7,0.31,0.31,0.553035308,,,,
100% Corpus,7,0.31,0.61,0.510744214,,,,
100% Corpus,7,0.31,0.91,0.518793762,,,,
100% Corpus,7,0.31,symmetric,0.529653678,,,,
