Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,symmetric,0.31,0.5758177833268738
75% Corpus,5,symmetric,0.61,0.6009903201693533
75% Corpus,5,symmetric,0.9099999999999999,0.5656055272775757
75% Corpus,5,symmetric,symmetric,0.5713563088034925
75% Corpus,5,asymmetric,0.01,0.5861026208221067
75% Corpus,5,asymmetric,0.31,0.5959499730125698
75% Corpus,5,asymmetric,0.61,0.6005950407624925
75% Corpus,5,asymmetric,0.9099999999999999,0.6596652002969526
75% Corpus,5,asymmetric,symmetric,0.60120073808919
75% Corpus,6,0.01,0.01,0.5809934300740195
75% Corpus,6,0.01,0.31,0.5787059220875673
75% Corpus,6,0.01,0.61,0.6118173458939861
75% Corpus,6,0.01,0.9099999999999999,0.5893823893085436
75% Corpus,6,0.01,symmetric,0.5971767355246302
75% Corpus,6,0.31,0.01,0.5493707651942706
75% Corpus,6,0.31,0.31,0.5771356567240437
75% Corpus,6,0.31,0.61,0.5895032525339609
75% Corpus,6,0.31,0.9099999999999999,0.6234268345110595
75% Corpus,6,0.31,symmetric,0.5589674609733039
75% Corpus,6,0.61,0.01,0.5445078202627925
75% Corpus,6,0.61,0.31,0.5854691587477131
75% Corpus,6,0.61,0.61,0.5893103617242647
75% Corpus,6,0.61,0.9099999999999999,0.5877171989099486
75% Corpus,6,0.61,symmetric,0.5448762326092506
75% Corpus,6,0.9099999999999999,0.01,0.5575120316109057
75% Corpus,6,0.9099999999999999,0.31,0.5543353804361816
75% Corpus,6,0.9099999999999999,0.61,0.548746699924508
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.5373912035429637
75% Corpus,6,0.9099999999999999,symmetric,0.5692398117041573
75% Corpus,6,symmetric,0.01,0.5816173640759681
75% Corpus,6,symmetric,0.31,0.5797042818270913
75% Corpus,6,symmetric,0.61,0.6229458320149441
75% Corpus,6,symmetric,0.9099999999999999,0.5914304240095625
75% Corpus,6,symmetric,symmetric,0.582787604395579
75% Corpus,6,asymmetric,0.01,0.5581492568290393
75% Corpus,6,asymmetric,0.31,0.617964880519326
75% Corpus,6,asymmetric,0.61,0.5724444478934095
75% Corpus,6,asymmetric,0.9099999999999999,0.6021260802719554
75% Corpus,6,asymmetric,symmetric,0.6193573165371561
75% Corpus,7,0.01,0.01,0.5558669489528566
75% Corpus,7,0.01,0.31,0.5706536955112076
75% Corpus,7,0.01,0.61,0.5620694531270826
75% Corpus,7,0.01,0.9099999999999999,0.5552543780547055
75% Corpus,7,0.01,symmetric,0.541161149493459
75% Corpus,7,0.31,0.01,0.5253431800794998
75% Corpus,7,0.31,0.31,0.5342205590851116
75% Corpus,7,0.31,0.61,0.5335994441567175
75% Corpus,7,0.31,0.9099999999999999,0.5337024243577653
75% Corpus,7,0.31,symmetric,0.5124756130054131
75% Corpus,7,0.61,0.01,0.5138736302230381
75% Corpus,7,0.61,0.31,0.5374408113097805
75% Corpus,7,0.61,0.61,0.5779340641957814
75% Corpus,7,0.61,0.9099999999999999,0.5728626861596157
75% Corpus,7,0.61,symmetric,0.537777769292752
75% Corpus,7,0.9099999999999999,0.01,0.5311313250890703
75% Corpus,7,0.9099999999999999,0.31,0.5555060296401043
75% Corpus,7,0.9099999999999999,0.61,0.5665910439195618
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.5296105932928887
75% Corpus,7,0.9099999999999999,symmetric,0.5864412460558166
75% Corpus,7,symmetric,0.01,0.5517668006593058
75% Corpus,7,symmetric,0.31,0.5437967574968453
75% Corpus,7,symmetric,0.61,0.5747626128143251
75% Corpus,7,symmetric,0.9099999999999999,0.539188900203034
75% Corpus,7,symmetric,symmetric,0.5201751757892995
75% Corpus,7,asymmetric,0.01,0.5612769439947418
75% Corpus,7,asymmetric,0.31,0.5907210404958035
75% Corpus,7,asymmetric,0.61,0.6011051731969825
75% Corpus,7,asymmetric,0.9099999999999999,0.629270415169283
75% Corpus,7,asymmetric,symmetric,0.5701067680401096
75% Corpus,8,0.01,0.01,0.5309178366644123
75% Corpus,8,0.01,0.31,0.5829134974807502
75% Corpus,8,0.01,0.61,0.5859883866907147
75% Corpus,8,0.01,0.9099999999999999,0.5473094798949346
75% Corpus,8,0.01,symmetric,0.5630467339548832
75% Corpus,8,0.31,0.01,0.5239718750438349
75% Corpus,8,0.31,0.31,0.5460291055026552
75% Corpus,8,0.31,0.61,0.5719624290148941
75% Corpus,8,0.31,0.9099999999999999,0.5590848735103406
75% Corpus,8,0.31,symmetric,0.5375752561804454
75% Corpus,8,0.61,0.01,0.5059905016179636
75% Corpus,8,0.61,0.31,0.5401012384453989
75% Corpus,8,0.61,0.61,0.5386939762480942
75% Corpus,8,0.61,0.9099999999999999,0.5537583758151703
75% Corpus,8,0.61,symmetric,0.4984996499643651
75% Corpus,8,0.9099999999999999,0.01,0.5262329397210517
75% Corpus,8,0.9099999999999999,0.31,0.5847856612387341
