Validation_Set,Topics,Alpha,Beta,Coherence,,,Topics,75% Corpus,,Topics,100% Corpus
100% Corpus,7,symmetric,0.01,0.52937269,,,,,,,
100% Corpus,7,symmetric,0.31,0.570061109,,,,,,,
100% Corpus,7,symmetric,0.61,0.57517824,,,,,,,
100% Corpus,7,symmetric,0.91,0.564996374,,,,,,,
100% Corpus,7,symmetric,symmetric,0.535764442,,,,,,,
100% Corpus,7,asymmetric,0.01,0.557414619,,,,,,,
100% Corpus,7,asymmetric,0.31,0.599377545,,,,,,,
100% Corpus,7,asymmetric,0.61,0.571916947,,,,,,,
100% Corpus,7,asymmetric,0.91,0.637073723,,,,,,,
100% Corpus,7,asymmetric,symmetric,0.549995321,,,,,,,
100% Corpus,8,0.01,0.01,0.532829665,16.65509545,,,,,,
100% Corpus,8,0.01,0.31,0.587429437,0.555169848,,,,,,
100% Corpus,8,0.01,0.61,0.568568905,,,,,,,
100% Corpus,8,0.01,0.91,0.610712719,,,,,,,
100% Corpus,8,0.01,symmetric,0.5550935,,,,,,,
100% Corpus,8,0.31,0.01,0.49402088,,,,,,,
100% Corpus,8,0.31,0.31,0.555677597,,,,,,,
100% Corpus,8,0.31,0.61,0.552856523,,,,,,,
100% Corpus,8,0.31,0.91,0.564025989,,,,,,,
100% Corpus,8,0.31,symmetric,0.530603615,,,,,,,
100% Corpus,8,0.61,0.01,0.527124247,,,,,,,
100% Corpus,8,0.61,0.31,0.529951555,,,,,,,
100% Corpus,8,0.61,0.61,0.53661874,,,,,,,
100% Corpus,8,0.61,0.91,0.563487635,,,,,,,
100% Corpus,8,0.61,symmetric,0.530741896,,,,,,,
100% Corpus,8,0.91,0.01,0.529836866,,,,,,,
100% Corpus,8,0.91,0.31,0.567796095,,,,,,,
100% Corpus,8,0.91,0.61,0.547785124,,,,,,,
100% Corpus,8,0.91,0.91,0.595191619,,,,,,,
100% Corpus,8,0.91,symmetric,0.545369629,,,,,,,
100% Corpus,8,symmetric,0.01,0.553860163,,,,,,,
100% Corpus,8,symmetric,0.31,0.556611614,,,,,,,
100% Corpus,8,symmetric,0.61,0.591898591,,,,,,,
100% Corpus,8,symmetric,0.91,0.568284195,,,,,,,
100% Corpus,8,symmetric,symmetric,0.55834841,,,,,,,
100% Corpus,8,asymmetric,0.01,0.532696382,,,,,,,
100% Corpus,8,asymmetric,0.31,0.55215698,,,,,,,
100% Corpus,8,asymmetric,0.61,0.573436658,,,,,,,
100% Corpus,8,asymmetric,0.91,0.598622256,,,,,,,
100% Corpus,8,asymmetric,symmetric,0.54345796,,,,,,,
100% Corpus,9,0.01,0.01,0.536171842,16.29612891,,,,,,
100% Corpus,9,0.01,0.31,0.553943707,0.543204297,,,,,,
100% Corpus,9,0.01,0.61,0.554128069,,,,,,,
100% Corpus,9,0.01,0.91,0.555234293,,,,,,,
100% Corpus,9,0.01,symmetric,0.520550587,,,,,,,
100% Corpus,9,0.31,0.01,0.488108746,,,,,,,
100% Corpus,9,0.31,0.31,0.545634396,,,,,,,
100% Corpus,9,0.31,0.61,0.573686472,,,,,,,
100% Corpus,9,0.31,0.91,0.580078575,,,,,,,
100% Corpus,9,0.31,symmetric,0.52446985,,,,,,,
100% Corpus,9,0.61,0.01,0.497959564,,,,,,,
100% Corpus,9,0.61,0.31,0.512004953,,,,,,,
100% Corpus,9,0.61,0.61,0.537163113,,,,,,,
100% Corpus,9,0.61,0.91,0.513069049,,,,,,,
100% Corpus,9,0.61,symmetric,0.508236909,,,,,,,
100% Corpus,9,0.91,0.01,0.51112907,,,,,,,
100% Corpus,9,0.91,0.31,0.558383309,,,,,,,
100% Corpus,9,0.91,0.61,0.530199722,,,,,,,
100% Corpus,9,0.91,0.91,0.551013724,,,,,,,
100% Corpus,9,0.91,symmetric,0.545609978,,,,,,,
100% Corpus,9,symmetric,0.01,0.548749391,,,,,,,
100% Corpus,9,symmetric,0.31,0.555466381,,,,,,,
100% Corpus,9,symmetric,0.61,0.545654585,,,,,,,
100% Corpus,9,symmetric,0.91,0.554911508,,,,,,,
100% Corpus,9,symmetric,symmetric,0.55745801,,,,,,,
100% Corpus,9,asymmetric,0.01,0.515183193,,,,,,,
100% Corpus,9,asymmetric,0.31,0.572041307,,,,,,,
100% Corpus,9,asymmetric,0.61,0.590961958,,,,,,,
100% Corpus,9,asymmetric,0.91,0.609874758,,,,,,,
100% Corpus,9,asymmetric,symmetric,0.549051889,,,,,,,
100% Corpus,10,0.01,0.01,0.568938609,16.6657503,,,,,,
100% Corpus,10,0.01,0.31,0.566224746,0.55552501,,,,,,
100% Corpus,10,0.01,0.61,0.594601927,,,,,,,
100% Corpus,10,0.01,0.91,0.611381325,,,,,,,
100% Corpus,10,0.01,symmetric,0.574202996,,,,,,,
100% Corpus,10,0.31,0.01,0.518267207,,,,,,,
100% Corpus,10,0.31,0.31,0.547898481,,,,,,,
100% Corpus,10,0.31,0.61,0.523635201,,,,,,,
100% Corpus,10,0.31,0.91,0.570294757,,,,,,,
100% Corpus,10,0.31,symmetric,0.53511086,,,,,,,
100% Corpus,10,0.61,0.01,0.495861112,,,,,,,
100% Corpus,10,0.61,0.31,0.545139495,,,,,,,
100% Corpus,10,0.61,0.61,0.541850527,,,,,,,
100% Corpus,10,0.61,0.91,0.591854249,,,,,,,
100% Corpus,10,0.61,symmetric,0.539915346,,,,,,,
100% Corpus,10,0.91,0.01,0.513257651,,,,,,,
100% Corpus,10,0.91,0.31,0.541935568,,,,,,,
100% Corpus,10,0.91,0.61,0.549620755,,,,,,,
100% Corpus,10,0.91,0.91,0.565546876,,,,,,,
100% Corpus,10,0.91,symmetric,0.534025759,,,,,,,
100% Corpus,10,symmetric,0.01,0.564955137,,,,,,,
100% Corpus,10,symmetric,0.31,0.558783213,,,,,,,
100% Corpus,10,symmetric,0.61,0.575572,,,,,,,
100% Corpus,10,symmetric,0.91,0.587331509,,,,,,,
100% Corpus,10,symmetric,symmetric,0.558908594,,,,,,,
100% Corpus,10,asymmetric,0.01,0.517567848,,,,,,,
100% Corpus,10,asymmetric,0.31,0.574507218,,,,,,,
100% Corpus,10,asymmetric,0.61,0.57894902,,,,,,,
100% Corpus,10,asymmetric,0.91,0.578361993,,,,,,,
100% Corpus,10,asymmetric,symmetric,0.541250316,,,,,,,
