Validation_Set,Topics,Alpha,Beta,Coherence,,,Topics,75% Corpus,,Topics,100% Corpus
75% Corpus,5,0.31,0.61,0.588369174,,,,,,,
75% Corpus,5,0.31,0.91,0.589683328,,,,,,,
75% Corpus,5,0.31,symmetric,0.580547764,,,,,,,
75% Corpus,5,0.61,0.01,0.595205069,,,,,,,
75% Corpus,5,0.61,0.31,0.557910401,,,,,,,
75% Corpus,5,0.61,0.61,0.580600853,,,,,,,
75% Corpus,5,0.61,0.91,0.577436514,,,,,,,
75% Corpus,5,0.61,symmetric,0.565838142,,,,,,,
75% Corpus,5,0.91,0.01,0.583222787,,,,,,,
75% Corpus,5,0.91,0.31,0.633905945,,,,,,,
75% Corpus,5,0.91,0.61,0.575187486,,,,,,,
75% Corpus,5,0.91,0.91,0.575682054,,,,,,,
75% Corpus,5,0.91,symmetric,0.592045089,,,,,,,
75% Corpus,5,symmetric,0.01,0.56545567,,,,,,,
75% Corpus,5,symmetric,0.31,0.575817783,,,,,,,
75% Corpus,5,symmetric,0.61,0.60099032,,,,,,,
75% Corpus,5,symmetric,0.91,0.565605527,,,,,,,
75% Corpus,5,symmetric,symmetric,0.571356309,,,,,,,
75% Corpus,5,asymmetric,0.01,0.586102621,,,,,,,
75% Corpus,5,asymmetric,0.31,0.595949973,,,,,,,
75% Corpus,5,asymmetric,0.61,0.600595041,,,,,,,
75% Corpus,5,asymmetric,0.91,0.6596652,,,,,,,
75% Corpus,5,asymmetric,symmetric,0.601200738,,,,,,,
75% Corpus,6,0.01,0.01,0.58099343,17.40411318,,,,,,
75% Corpus,6,0.01,0.31,0.578705922,0.580137106,,,,,,
75% Corpus,6,0.01,0.61,0.611817346,,,,,,,
75% Corpus,6,0.01,0.91,0.589382389,,,,,,,
75% Corpus,6,0.01,symmetric,0.597176736,,,,,,,
75% Corpus,6,0.31,0.01,0.549370765,,,,,,,
75% Corpus,6,0.31,0.31,0.577135657,,,,,,,
75% Corpus,6,0.31,0.61,0.589503253,,,,,,,
75% Corpus,6,0.31,0.91,0.623426835,,,,,,,
75% Corpus,6,0.31,symmetric,0.558967461,,,,,,,
75% Corpus,6,0.61,0.01,0.54450782,,,,,,,
75% Corpus,6,0.61,0.31,0.585469159,,,,,,,
75% Corpus,6,0.61,0.61,0.589310362,,,,,,,
75% Corpus,6,0.61,0.91,0.587717199,,,,,,,
75% Corpus,6,0.61,symmetric,0.544876233,,,,,,,
75% Corpus,6,0.91,0.01,0.557512032,,,,,,,
75% Corpus,6,0.91,0.31,0.55433538,,,,,,,
75% Corpus,6,0.91,0.61,0.5487467,,,,,,,
75% Corpus,6,0.91,0.91,0.537391204,,,,,,,
75% Corpus,6,0.91,symmetric,0.569239812,,,,,,,
75% Corpus,6,symmetric,0.01,0.581617364,,,,,,,
75% Corpus,6,symmetric,0.31,0.579704282,,,,,,,
75% Corpus,6,symmetric,0.61,0.622945832,,,,,,,
75% Corpus,6,symmetric,0.91,0.591430424,,,,,,,
75% Corpus,6,symmetric,symmetric,0.582787604,,,,,,,
75% Corpus,6,asymmetric,0.01,0.558149257,,,,,,,
75% Corpus,6,asymmetric,0.31,0.617964881,,,,,,,
75% Corpus,6,asymmetric,0.61,0.572444448,,,,,,,
75% Corpus,6,asymmetric,0.91,0.60212608,,,,,,,
75% Corpus,6,asymmetric,symmetric,0.619357317,,,,,,,
75% Corpus,7,0.01,0.01,0.555866949,16.61568663,,,,,,
75% Corpus,7,0.01,0.31,0.570653696,0.553856221,,,,,,
75% Corpus,7,0.01,0.61,0.562069453,,,,,,,
75% Corpus,7,0.01,0.91,0.555254378,,,,,,,
75% Corpus,7,0.01,symmetric,0.541161149,,,,,,,
75% Corpus,7,0.31,0.01,0.52534318,,,,,,,
75% Corpus,7,0.31,0.31,0.534220559,,,,,,,
75% Corpus,7,0.31,0.61,0.533599444,,,,,,,
75% Corpus,7,0.31,0.91,0.533702424,,,,,,,
75% Corpus,7,0.31,symmetric,0.512475613,,,,,,,
75% Corpus,7,0.61,0.01,0.51387363,,,,,,,
75% Corpus,7,0.61,0.31,0.537440811,,,,,,,
75% Corpus,7,0.61,0.61,0.577934064,,,,,,,
75% Corpus,7,0.61,0.91,0.572862686,,,,,,,
75% Corpus,7,0.61,symmetric,0.537777769,,,,,,,
75% Corpus,7,0.91,0.01,0.531131325,,,,,,,
75% Corpus,7,0.91,0.31,0.55550603,,,,,,,
75% Corpus,7,0.91,0.61,0.566591044,,,,,,,
75% Corpus,7,0.91,0.91,0.529610593,,,,,,,
75% Corpus,7,0.91,symmetric,0.586441246,,,,,,,
75% Corpus,7,symmetric,0.01,0.551766801,,,,,,,
75% Corpus,7,symmetric,0.31,0.543796757,,,,,,,
75% Corpus,7,symmetric,0.61,0.574762613,,,,,,,
75% Corpus,7,symmetric,0.91,0.5391889,,,,,,,
75% Corpus,7,symmetric,symmetric,0.520175176,,,,,,,
75% Corpus,7,asymmetric,0.01,0.561276944,,,,,,,
75% Corpus,7,asymmetric,0.31,0.59072104,,,,,,,
75% Corpus,7,asymmetric,0.61,0.601105173,,,,,,,
75% Corpus,7,asymmetric,0.91,0.629270415,,,,,,,
75% Corpus,7,asymmetric,symmetric,0.570106768,,,,,,,
75% Corpus,8,0.01,0.01,0.530917837,16.50816794,,,,,,
75% Corpus,8,0.01,0.31,0.582913497,0.550272265,,,,,,
75% Corpus,8,0.01,0.61,0.585988387,,,,,,,
75% Corpus,8,0.01,0.91,0.54730948,,,,,,,
75% Corpus,8,0.01,symmetric,0.563046734,,,,,,,
75% Corpus,8,0.31,0.01,0.523971875,,,,,,,
75% Corpus,8,0.31,0.31,0.546029106,,,,,,,
75% Corpus,8,0.31,0.61,0.571962429,,,,,,,
75% Corpus,8,0.31,0.91,0.559084874,,,,,,,
75% Corpus,8,0.31,symmetric,0.537575256,,,,,,,
75% Corpus,8,0.61,0.01,0.505990502,,,,,,,
75% Corpus,8,0.61,0.31,0.540101238,,,,,,,
75% Corpus,8,0.61,0.61,0.538693976,,,,,,,
75% Corpus,8,0.61,0.91,0.553758376,,,,,,,
75% Corpus,8,0.61,symmetric,0.49849965,,,,,,,
75% Corpus,8,0.91,0.01,0.52623294,,,,,,,
75% Corpus,8,0.91,0.31,0.584785661,,,,,,,
75% Corpus,8,0.91,0.61,0.534268794,,,,,,,
75% Corpus,8,0.91,0.91,0.550329014,,,,,,,
75% Corpus,8,0.91,symmetric,0.54286299,,,,,,,
75% Corpus,8,symmetric,0.01,0.540023436,,,,,,,
75% Corpus,8,symmetric,0.31,0.574768059,,,,,,,
75% Corpus,8,symmetric,0.61,0.594409801,,,,,,,
75% Corpus,8,symmetric,0.91,0.580852113,,,,,,,
75% Corpus,8,symmetric,symmetric,0.550087376,,,,,,,
75% Corpus,8,asymmetric,0.01,0.513749399,,,,,,,
75% Corpus,8,asymmetric,0.31,0.515792165,,,,,,,
75% Corpus,8,asymmetric,0.61,0.578759737,,,,,,,
75% Corpus,8,asymmetric,0.91,0.603243101,,,,,,,
75% Corpus,8,asymmetric,symmetric,0.532160133,,,,,,,
75% Corpus,9,0.01,0.01,0.515023753,16.14325938,,,,,,
75% Corpus,9,0.01,0.31,0.536169257,0.538108646,,,,,,
75% Corpus,9,0.01,0.61,0.548042359,,,,,,,
75% Corpus,9,0.01,0.91,0.59357896,,,,,,,
75% Corpus,9,0.01,symmetric,0.550953161,,,,,,,
75% Corpus,9,0.31,0.01,0.481579439,,,,,,,
75% Corpus,9,0.31,0.31,0.535831054,,,,,,,
75% Corpus,9,0.31,0.61,0.556989751,,,,,,,
75% Corpus,9,0.31,0.91,0.556889327,,,,,,,
75% Corpus,9,0.31,symmetric,0.514442332,,,,,,,
75% Corpus,9,0.61,0.01,0.516267013,,,,,,,
75% Corpus,9,0.61,0.31,0.513632299,,,,,,,
75% Corpus,9,0.61,0.61,0.496356616,,,,,,,
75% Corpus,9,0.61,0.91,0.548432288,,,,,,,
75% Corpus,9,0.61,symmetric,0.515329043,,,,,,,
75% Corpus,9,0.91,0.01,0.518188654,,,,,,,
75% Corpus,9,0.91,0.31,0.540155279,,,,,,,
75% Corpus,9,0.91,0.61,0.539031598,,,,,,,
75% Corpus,9,0.91,0.91,0.50819734,,,,,,,
75% Corpus,9,0.91,symmetric,0.549578966,,,,,,,
75% Corpus,9,symmetric,0.01,0.535177489,,,,,,,
75% Corpus,9,symmetric,0.31,0.559168709,,,,,,,
75% Corpus,9,symmetric,0.61,0.555116018,,,,,,,
75% Corpus,9,symmetric,0.91,0.564630505,,,,,,,
75% Corpus,9,symmetric,symmetric,0.526905158,,,,,,,
75% Corpus,9,asymmetric,0.01,0.520694501,,,,,,,
75% Corpus,9,asymmetric,0.31,0.51429538,,,,,,,
75% Corpus,9,asymmetric,0.61,0.566428347,,,,,,,
75% Corpus,9,asymmetric,0.91,0.621581069,,,,,,,
75% Corpus,9,asymmetric,symmetric,0.544593716,,,,,,,
75% Corpus,10,0.01,0.01,0.532113001,16.38551454,,,,,,
75% Corpus,10,0.01,0.31,0.563002134,0.546183818,,,,,,
75% Corpus,10,0.01,0.61,0.582162667,,,,,,,
75% Corpus,10,0.01,0.91,0.593756883,,,,,,,
75% Corpus,10,0.01,symmetric,0.546817798,,,,,,,
75% Corpus,10,0.31,0.01,0.493419106,,,,,,,
75% Corpus,10,0.31,0.31,0.542195845,,,,,,,
75% Corpus,10,0.31,0.61,0.546464719,,,,,,,
75% Corpus,10,0.31,0.91,0.55910438,,,,,,,
75% Corpus,10,0.31,symmetric,0.493349785,,,,,,,
75% Corpus,10,0.61,0.01,0.503272115,,,,,,,
75% Corpus,10,0.61,0.31,0.522383128,,,,,,,
75% Corpus,10,0.61,0.61,0.543347444,,,,,,,
