,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
23,23,3.0,0.9128,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['setting', 'bike', 'bikedemo', 'santacruzbicycles', 'santacruzbicyclessg', 'santacruzbronson', 'santacruznomad', 'santacruzbicycles']"
24,24,3.0,0.913,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['trying', 'technical', 'demo', 'santacruzbicycles', 'santacruzbicyclessg', 'bikedemo', 'santacruznomad', 'santacruzbicycles']"
25,25,3.0,0.7356,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['santacruzbicycles', 'santacruzbicyclessg']"
26,26,3.0,0.9126,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['ready', 'downhillrace', 'singaporemtbcarnival', 'santacruznomad', 'santacruzbronson', 'santacruzbicycles', 'santacruzbicyclessg', 'santacruzbicycles']"
27,27,3.0,0.9138,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['feeding', 'time', 'singaporemtbcarnival', 'foxracing', 'santacruztallboy', 'santacruzbicyclessg', 'santacruzbicycles', 'tonyherdrich']"
28,28,3.0,0.7425,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['singaporemtbcarnival', 'downhillmtb']"
29,29,3.0,0.7425,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['singaporemtbcarnival', 'downhillmtb']"
30,30,3.0,0.8704,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['singaporemtbcarnival', 'downhillrace', 'santacruzbicycles', 'santacruzbicyclessg', 'williamthewhale']"
31,31,3.0,0.9213,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['super', 'master', 'downhill', 'category', 'guz', 'coming', 'singaporemtbcarnival', 'santacruzbicycles', 'santacruzbicyclessg']"
32,32,3.0,0.8708,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['singaporemtbcarnival', 'santacruzbicyclessg', 'reevolutionsg', 'beautifulsunday', 'endswithabang']"
33,33,2.0,0.9658,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, back, julianabicycles, happy, race","['colors', 'repost', 'santacruzbicycles', 'repostapp', 'josh', 'bryceland', 'madeira', 'dreamin', 'check', 'bronson', 'release', 'video', 'staring', 'brought', 'special', 'thanks', 'freeride', 'madeira', 'islands', 'lovesbackwheel', 'video', 'profile']"
34,34,2.0,0.87,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, back, julianabicycles, happy, race","['spearmint', 'furtado', 'julianabicyclessg', 'julianabicycles', 'julianafurtado']"
35,35,1.0,0.8717,"repost, repostapp, santacruzbicycles, reevolutionsg, santacruzbicyclessg, weekend, bike, mtblife, gojuliana, back","['stonewashed', 'purple', 'roubion', 'julianabicyclessg', 'julianaroubion']"
36,36,1.0,0.8885,"repost, repostapp, santacruzbicycles, reevolutionsg, santacruzbicyclessg, weekend, bike, mtblife, gojuliana, back","['bronson', 'santacruzbicyclessg', 'santacruzbronson', 'newcolors', 'iwantone', 'comingsoon']"
37,37,3.0,0.9403,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['everyone', 'use', 'alittle', 'damping', 'bicycle', 'hopey', 'steering', 'dampers', 'mountainbiking', 'adventures', 'reevolutionsg', 'repost']"
38,38,0.0,0.903,"repostapp, reevolutionsg, repost, mtblife, santacruzbicycles, back, weekend, santacruzbicyclessg, bike, us","['reevolution', 'wish', 'customers', 'happymidautumnfestival', 'onceayear', 'mooncakes', 'eatafterriding']"
39,39,3.0,0.9535,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['repost', 'santacruzbicycles', 'repostapp', 'singapore', 'rider', 'ng', 'chee', 'keong', 'festival', 'wheels', 'aboard', 'jackal', 'santacruzbicyclessg', 'reevolutionsg', 'proudofu', 'singaporepride']"
40,40,2.0,0.9515,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, back, julianabicycles, happy, race","['limited', 'edition', 'fox', 'champion', 'series', 'fork', 'piece', 'local', 'market', 'fork', 'champions', 'call', 'us', 'reserve', 'piece']"
41,41,3.0,0.9346,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['repost', 'wandemarco', 'repostapp', 'feeling', 'well', 'saturday', 'ride', 'santacruzbicycles', 'reevolutionsg', 'santacruzbronson', 'reevolutionsg']"
42,42,1.0,0.9813,"repost, repostapp, santacruzbicycles, reevolutionsg, santacruzbicyclessg, weekend, bike, mtblife, gojuliana, back","['repost', 'happycustomer', 'santacruzbicyclessg', 'santacruzbikes', 'wandemarco', 'repostapp', 'usually', 'post', 'media', 'gd', 'bike', 'ridden', 'dis', 'totally', 'awesome', 'dat', 'hv', 'post', 'avid', 'local', 'trail', 'dis', 'bike', 'damn', 'efficient', 'dat', 'makes', 'climb', 'fast', 'easier', 'wif', 'head', 'angle', 'descent', 'faster', 'wow', 'k', 'bye', 'santacruzbicycles', 'reevolutionsg', 'williamthewhale']"
43,43,3.0,0.9226,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['repost', 'reevolutionsg', 'repostapp', 'canecreekdoublebarrel', 'canecreek', 'midweekmotivation', 'suspension', 'wishuhave', 'comefindus']"
44,44,3.0,0.9686,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['repost', 'santacruzbicyclessg', 'santacruznomad', 'santacruzbronson', 'kiara', 'endurotrail', 'riding', 'santacruzbicycles', 'kenberryjuice', 'repostapp', 'drove', 'north', 'tdh', 'enduro', 'race', 'long', 'climbs', 'steep', 'downhills', 'thanks', 'reevolutionsg', 'prepping', 'bike', 'well']"
45,45,3.0,0.9661,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['repost', 'throwback', 'redbullsg', 'inthehouse', 'williamthewhale', 'repostapp', 'fantastic', 'away', 'desk', 'working', 'redbullsg', 'articles', 'great', 'time', 'shooting', 'joshtzm', 'thank', 'reevolutionsg', 'space', 'redbullsg', 'vsco', 'vscocam']"
46,46,3.0,0.9561,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['sat', 'morning', 'repost', 'kenberryjuice', 'repostapp', 'santacruzbicycles', 'reevolutionsg', 'fitness', 'keeping', 'ride', 'morning', 'harolddddddd', 'virgin', 'ride', 'santacruz', 'solo', 'santacruzbicyclessg']"
47,47,1.0,0.9686,"repost, repostapp, santacruzbicycles, reevolutionsg, santacruzbicyclessg, weekend, bike, mtblife, gojuliana, back","['yes', 'comingsoon', 'whatareyouwaitingfor', 'repost', 'santacruzbicycles', 'repostapp', 'introducing', 'hightower', 'shown', 'form', 'sriracha', 'red', 'color', 'option', 'compatible', 'plus', 'wheels', 'hit', 'profile', 'head', 'hightower', 'page', 'website', 'details']"
48,48,2.0,0.9586,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, back, julianabicycles, happy, race","['reevolution', 'team', 'hereby', 'wish', 'customers', 'friends', 'prosperous', 'happy', 'lunar', 'monkey', 'good', 'health', 'wealth', 'fun', 'trails', 'huatah', 'monkeyyear', 'harolddddddd']"
49,49,3.0,0.9585,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['repost', 'julianabicycles', 'repostapp', 'hey', 'alizeebaron', 'remember', 'time', 'got', 'xgames', 'ski', 'cross', 'week', 'think', 'awesome', 'tdg', 'photography', 'gojuliana', 'roubionisforever']"
50,50,1.0,0.9807,"repost, repostapp, santacruzbicycles, reevolutionsg, santacruzbicyclessg, weekend, bike, mtblife, gojuliana, back","['repost', 'santacruzbicycles', 'repostapp', 'factory', 'racing', 'hit', 'ixs', 'dh', 'cup', 'round', 'la', 'chile', 'weekend', 'warming', 'andes', 'pacifico', 'enduro', 'starts', 'tomorrow', 'feb', 'man', 'mountain', 'garyperkin', 'got', 'shot', 'scottchapinator', 'aboard', 'bronson', 'way', 'masters', 'kid', 'took', 'sporting', 'bronze', 'rodin', 'stay', 'tuned', 'updates', 'andespacifico', 'week']"
51,51,2.0,0.9335,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, back, julianabicycles, happy, race","['customers', 'fun', 'repost', 'jjayjoel', 'repostapp', 'party', 'santacruzbicycles', 'santacruzbicycles', 'santacruzbicyclessg', 'bronson', 'nomad']"
52,52,3.0,0.9205,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['repost', 'jjayjoel', 'repostapp', 'vpp', 'bronson', 'santacruzbicycles', 'santacruzbicycles', 'santacruzbicyclessg', 'santacruzbronson']"
53,53,3.0,0.9718,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['repost', 'julianabicycles', 'repostapp', 'pretty', 'safe', 'months', 'ridehousemartin', 'busy', 'back', 'chile', 'right', 'montenbaik', 'prepping', 'massive', 'ride', 'nz', 'later', 'month', 'check', 'bio', 'see', 'involved', 'anka', 'support', 'worldbicyclerelief', 'svenmartinphoto', 'gojuliana']"
54,54,2.0,0.9661,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, back, julianabicycles, happy, race","['repost', 'santacruzbicycles', 'repostapp', 'else', 'impatiently', 'waiting', 'dh', 'race', 'season', 'begin', 'fix', 'excellent', 'foxmtb', 'edit', 'fox', 'head', 'youtube', 'channel', 'epic', 'ratty', 'photo', 'duncanphilpott']"
